log_id,employee_id,clock_in,clock_out,department,pay_rate,log_date
LOG0003834,EMP00036,2024-03-04 06:46:56,2024-03-04 12:16:53,Legal,58.84,2024-03-04
LOG0001749,EMP00115,2024-12-20 07:13:04,2024-12-20 15:11:35,Bus,43.97,2024-12-20
LOG0000908,EMP00302,2024-07-20 14:38:12,2024-07-20 19:19:52,Maintenance,28.24,2024-07-20
LOG0004576,EMP00871,2024-04-08 09:41:28,2024-04-08 20:03:02,Infrastructure,66.48,2024-04-08
LOG0004421,EMP00568,2024-09-27 22:22:27,2024-09-28 05:41:12,Safety,27.76,2024-09-27
LOG0001544,EMP00652,2024-06-27 22:52:11,2024-06-28 11:19:00,Operations,79.85,2024-06-27
LOG0000486,EMP00455,2024-07-03 09:18:57,2024-07-03 22:05:06,Finance,56.27,2024-07-03
LOG0002456,EMP00477,2024-07-09 09:53:53,2024-07-09 14:21:06,Safety,63.24,2024-07-09
LOG0000334,EMP00595,2024-03-30 14:35:45,2024-03-30 19:15:57,Rail,39.33,2024-03-30
LOG0002958,EMP00364,2024-01-02 06:01:01,2024-01-02 15:30:08,HR,83.25,2024-01-02
LOG0000674,EMP00450,2024-04-26 06:07:04,2024-04-26 13:43:12,Procurement,82.6,2024-04-26
LOG0004860,EMP00421,2024-01-10 07:17:52,2024-01-10 16:34:28,Procurement,50.0,2024-01-10
LOG0002127,EMP00399,2024-10-27 22:49:19,2024-10-28 11:19:10,Customer Service,36.1,2024-10-27
LOG0003447,EMP00925,2024-01-14 07:56:10,2024-01-14 14:12:57,Procurement,68.11,2024-01-14
LOG0004404,EMP00639,2024-12-02 06:24:15,2024-12-02 15:57:10,Maintenance,53.78,2024-12-02
LOG0001415,EMP00782,2024-11-27 07:55:33,2024-11-27 16:44:46,Maintenance,63.8,2024-11-27
LOG0000410,EMP00821,2024-05-22 07:49:29,2024-05-22 12:54:18,Engineering,58.16,2024-05-22
LOG0004234,EMP00357,2024-04-02 08:43:52,2024-04-02 15:54:04,Legal,70.31,2024-04-02
LOG0002519,EMP00368,2024-06-06 08:54:06,2024-06-06 13:35:56,Customer Service,66.22,2024-06-06
LOG0003652,EMP00370,2024-08-02 14:35:04,2024-08-02 21:34:22,Scheduling,83.67,2024-08-02
LOG0001947,EMP00868,2024-05-08 14:01:58,2024-05-09 03:10:17,Maintenance,68.99,2024-05-08
LOG0000598,EMP00197,2024-05-17 06:20:29,2024-05-17 05:17:00,Rail,75.96,2024-05-17
LOG0003868,EMP00652,2024-07-02 07:56:29,2024-07-02 20:06:45,Operations,79.85,2024-07-02
LOG0000011,EMP00424,2024-03-30 09:32:06,2024-03-30 19:07:16,Legal,52.4,2024-03-30
LOG0002091,EMP00480,2024-03-07 10:34:26,,Maintenance,84.08,2024-03-07
LOG0001433,EMP00311,2024-09-06 06:20:57,2024-09-06 20:05:33,Procurement,67.64,2024-09-06
LOG0000911,EMP00078,2024-03-08 07:49:05,2024-03-08 14:29:40,Bus,62.85,2024-03-08
LOG0003409,EMP00650,2024-06-14 08:48:48,2024-06-14 16:23:53,HR,54.83,2024-06-14
LOG0003547,EMP00673,2024-12-13 08:21:08,2024-12-13 14:31:04,Bus,71.99,2024-12-13
LOG0002960,EMP00826,2024-09-23 10:49:49,2024-09-23 20:30:41,IT,76.79,2024-09-23
LOG0004568,EMP00750,2024-01-03 06:43:34,2024-01-03 13:36:00,Procurement,44.93,2024-01-03
LOG0000019,EMP00437,2024-04-03 14:43:59,2024-04-04 03:49:56,Finance,59.07,2024-04-03
LOG0003476,EMP00780,2024-01-27 14:58:44,2024-01-27 20:00:10,Bus,20.7,2024-01-27
LOG0001353,EMP00590,2024-02-27 22:11:27,2024-02-28 07:30:28,Rail,42.83,2024-02-27
LOG0003281,EMP00206,2024-12-29 07:20:14,2024-12-29 20:58:51,Maintenance,53.48,2024-12-29
LOG0004025,EMP00531,2024-01-01 14:21:04,2024-01-01 23:46:45,Operations,24.72,2024-01-01
LOG0003197,EMP00818,2024-05-05 07:01:25,2024-05-05 15:51:14,Scheduling,67.28,2024-05-05
LOG0001761,EMP00860,2024-12-14 07:56:02,2024-12-14 15:22:06,IT,72.84,2024-12-14
LOG0004980,EMP00302,2024-02-29 22:21:02,2024-03-01 12:12:02,Maintenance,28.24,2024-02-29
LOG0003510,EMP00250,2024-11-21 08:17:52,2024-11-21 16:20:01,Procurement,40.68,2024-11-21
LOG0003331,EMP00334,2024-08-23 22:23:36,2024-08-24 07:04:05,Scheduling,81.48,2024-08-23
LOG0004805,EMP00674,2024-06-03 22:23:10,2024-06-04 04:16:07,Legal,37.27,2024-06-03
LOG0004045,EMP00403,2024-04-29 06:34:04,2024-04-29 17:18:37,Safety,46.14,2024-04-29
LOG0000119,EMP00228,2024-09-03 10:12:31,2024-09-03 18:09:42,Procurement,62.34,2024-09-03
LOG0000606,EMP00895,2024-02-05 08:05:25,2024-02-05 19:04:28,Infrastructure,62.69,2024-02-05
LOG0003783,EMP00055,2024-09-15 06:08:25,2024-09-15 13:37:36,Rail,31.13,2024-09-15
LOG0002150,EMP00340,2024-12-15 08:53:06,2024-12-15 16:52:06,Operations,46.09,2024-12-15
LOG0003232,EMP00873,2024-03-30 14:55:49,2024-03-30 21:53:24,Infrastructure,40.97,2024-03-30
LOG0004075,EMP00124,2024-05-21 14:10:44,2024-05-21 20:30:20,Operations,24.08,2024-05-21
LOG0002335,EMP00694,2024-01-23 09:57:35,2024-01-23 20:22:58,Bus,82.9,2024-01-23
LOG0002859,EMP00128,2024-08-13 14:37:29,2024-08-14 01:56:09,Operations,84.99,2024-08-13
LOG0001632,EMP00378,2024-07-24 07:53:40,2024-07-24 15:25:25,Maintenance,35.91,2024-07-24
LOG0002734,EMP00311,2024-07-22 09:40:42,2024-07-22 15:46:13,Procurement,67.64,2024-07-22
LOG0004687,EMP00437,2024-11-27 09:43:44,2024-11-27 20:16:06,Finance,59.07,2024-11-27
LOG0001517,EMP00760,2024-06-13 07:46:19,2024-06-13 11:46:31,Procurement,48.36,2024-06-13
LOG0001495,EMP00912,2024-04-10 07:14:32,2024-04-10 12:32:25,Operations,63.89,2024-04-10
LOG0004142,EMP00675,2024-06-18 09:44:42,2024-06-18 15:14:14,Safety,19.03,2024-06-18
LOG0004867,EMP00020,2024-02-27 09:59:47,2024-02-27 22:53:10,Rail,36.11,2024-02-27
LOG0003850,EMP00796,2024-04-20 09:25:53,2024-04-20 16:25:42,Bus,28.47,2024-04-20
LOG0002079,EMP00535,2024-07-18 06:29:32,2024-07-18 19:04:33,Finance,21.6,2024-07-18
LOG0004415,EMP00423,2024-07-17 09:16:36,2024-07-17 13:37:47,Customer Service,67.66,2024-07-17
LOG0003588,EMP00895,2024-10-06 22:44:16,2024-10-06 21:35:43,Infrastructure,62.69,2024-10-06
LOG0000909,EMP00405,2024-08-20 14:25:06,2024-08-21 01:39:41,IT,27.2,2024-08-20
LOG0003623,EMP00182,2024-01-03 06:40:52,2024-01-03 14:47:58,Safety,79.42,2024-01-03
LOG0001115,EMP00237,2024-12-02 07:10:32,2024-12-02 18:35:31,Scheduling,35.93,2024-12-02
LOG0002593,EMP00797,2024-09-28 22:22:58,2024-09-29 04:03:10,Scheduling,39.75,2024-09-28
LOG0004891,EMP00762,2024-10-13 10:56:07,2024-10-13 21:15:37,Rail,73.97,2024-10-13
LOG0003279,EMP00913,2024-06-19 09:09:48,2024-06-19 20:48:29,Finance,54.43,2024-06-19
LOG0001173,EMP00945,2024-04-20 22:01:21,2024-04-21 09:16:49,HR,76.88,2024-04-20
LOG0004801,EMP00200,2024-03-18 06:49:10,2024-03-18 17:00:42,Engineering,50.71,2024-03-18
LOG0003606,EMP00146,2024-01-20 14:31:19,2024-01-21 00:40:06,Operations,51.37,2024-01-20
LOG0000896,EMP00072,2024-11-23 07:56:17,2024-11-23 21:12:37,Maintenance,60.68,2024-11-23
LOG0001925,EMP00979,2024-07-09 08:00:06,2024-07-09 16:49:46,Bus,43.65,2024-07-09
LOG0001849,EMP00827,2024-11-02 10:51:12,2024-11-02 23:18:44,Operations,58.0,2024-11-02
LOG0003721,EMP00239,2024-05-04 07:28:41,2024-05-04 18:47:21,HR,79.36,2024-05-04
LOG0003683,EMP00403,2024-08-15 06:50:47,2024-08-15 12:01:44,Safety,46.14,2024-08-15
LOG0002925,EMP00395,2024-07-19 22:26:46,2024-07-20 03:48:05,Finance,59.36,2024-07-19
LOG0003920,EMP00503,2024-11-27 09:27:30,,HR,61.51,2024-11-27
LOG0000462,EMP00764,2024-07-30 22:21:45,2024-07-31 06:35:10,Engineering,48.97,2024-07-30
LOG0004768,EMP00674,2024-01-13 14:35:38,2024-01-13 13:20:10,Legal,37.27,2024-01-13
LOG0005189,EMP00783,2024-11-03 09:56:13,2024-11-03 19:48:21,Safety,30.31,2024-11-03
LOG0001796,EMP00724,2024-12-03 10:23:35,2024-12-03 07:48:47,Scheduling,44.81,2024-12-03
LOG0003274,EMP00547,2024-04-28 06:36:59,2024-04-28 15:27:40,Rail,67.69,2024-04-28
LOG0001911,EMP00767,2024-08-19 08:32:19,2024-08-19 15:28:30,Customer Service,70.34,2024-08-19
LOG0000478,EMP00408,2024-07-08 10:43:41,,Bus,82.52,2024-07-08
LOG0000732,EMP00072,2024-09-23 22:26:41,2024-09-24 10:34:18,Maintenance,60.68,2024-09-23
LOG0004700,EMP00540,2024-01-14 10:39:36,2024-01-14 20:14:18,Maintenance,51.8,2024-01-14
LOG0002530,EMP00003,2024-08-15 06:05:51,2024-08-15 13:32:24,Operations,20.48,2024-08-15
LOG0004072,EMP00651,2024-12-09 14:54:50,2024-12-10 03:15:10,Maintenance,19.61,2024-12-09
LOG0000032,EMP00380,2024-02-21 14:17:51,2024-02-21 20:39:19,Legal,23.42,2024-02-21
LOG0000878,EMP00073,2024-01-01 06:42:47,2024-01-01 13:55:46,Procurement,27.2,2024-01-01
LOG0002243,EMP00039,2024-10-19 08:16:55,2024-10-19 14:49:15,Bus,22.76,2024-10-19
LOG0001593,EMP00847,2024-09-24 09:48:34,2024-09-24 20:14:29,Rail,64.8,2024-09-24
LOG0004380,EMP00346,2024-01-26 07:14:27,2024-01-26 14:20:35,Engineering,46.65,2024-01-26
LOG0004750,EMP00437,2024-08-12 06:47:00,2024-08-12 14:51:01,Finance,59.07,2024-08-12
LOG0002994,EMP00999,2024-04-14 14:19:31,2024-04-15 02:46:43,Infrastructure,64.02,2024-04-14
LOG0001821,EMP00474,2024-11-22 07:13:38,2024-11-22 19:07:36,Legal,53.1,2024-11-22
LOG0003296,EMP00003,2024-06-25 08:34:47,2024-06-25 13:22:12,Operations,20.48,2024-06-25
LOG0002369,EMP00620,2024-09-05 06:03:01,2024-09-05 15:59:29,Maintenance,60.64,2024-09-05
LOG0004515,EMP00752,2024-11-17 07:40:26,2024-11-17 20:14:04,Rail,48.14,2024-11-17
LOG0000152,EMP00023,2024-05-18 09:14:47,2024-05-18 19:57:35,Procurement,21.63,2024-05-18
LOG0000304,EMP00161,2024-11-17 22:50:19,,Finance,49.71,2024-11-17
LOG0003570,EMP00747,2024-02-15 06:15:01,2024-02-15 15:13:16,Operations,46.94,2024-02-15
LOG0001233,EMP00329,2024-05-15 09:09:31,2024-05-15 21:17:50,Rail,58.22,2024-05-15
LOG0004956,EMP00173,2024-10-24 06:02:38,2024-10-24 10:08:51,Customer Service,62.47,2024-10-24
LOG0001468,EMP00848,2024-08-22 14:42:12,2024-08-23 02:24:09,IT,79.1,2024-08-22
LOG0004654,EMP00738,2024-01-28 08:18:39,2024-01-28 17:54:26,Scheduling,68.92,2024-01-28
LOG0002275,EMP00935,2024-09-11 22:01:49,2024-09-12 03:00:07,Customer Service,74.01,2024-09-11
LOG0003805,EMP00642,2024-03-28 10:58:41,2024-03-28 15:13:31,Maintenance,27.81,2024-03-28
LOG0001822,EMP00312,2024-11-27 22:31:23,2024-11-28 04:58:45,Bus,39.88,2024-11-27
LOG0000223,EMP00945,2024-08-08 22:27:36,2024-08-09 10:19:59,HR,76.88,2024-08-08
LOG0002383,EMP00178,2024-02-17 08:58:54,2024-02-17 18:00:54,Maintenance,58.27,2024-02-17
LOG0001416,EMP00620,2024-01-08 14:04:21,2024-01-08 20:19:14,Maintenance,60.64,2024-01-08
LOG0004539,EMP00901,2024-09-07 09:49:14,2024-09-07 21:02:07,Engineering,26.44,2024-09-07
LOG0001530,EMP00701,2024-08-03 06:40:06,2024-08-03 19:19:12,Legal,73.65,2024-08-03
LOG0001636,EMP00987,2024-07-05 09:35:55,2024-07-05 21:14:18,Maintenance,46.8,2024-07-05
LOG0004864,EMP00578,2024-05-10 08:39:47,2024-05-10 16:32:06,Rail,41.44,2024-05-10
LOG0004715,EMP00309,2024-02-11 08:27:05,2024-02-11 17:01:53,Operations,22.28,2024-02-11
LOG0002793,EMP00801,2024-05-10 10:22:43,2024-05-10 20:33:24,Scheduling,42.34,2024-05-10
LOG0002798,EMP00018,2024-11-05 07:42:40,2024-11-05 16:51:31,IT,36.3,2024-11-05
LOG0001499,EMP00434,2024-03-08 08:27:23,2024-03-08 19:04:06,Engineering,32.29,2024-03-08
LOG0002416,EMP00776,2024-02-23 08:53:28,2024-02-23 19:42:04,Bus,79.24,2024-02-23
LOG0004532,EMP00158,2024-06-19 08:44:22,2024-06-19 18:40:39,Bus,42.5,2024-06-19
LOG0001336,EMP00493,2024-06-06 06:11:15,2024-06-06 18:45:54,Operations,27.82,2024-06-06
LOG0003441,EMP00658,2024-04-03 22:37:13,2024-04-04 09:11:32,Operations,34.76,2024-04-03
LOG0000521,EMP00643,2024-06-03 06:08:08,2024-06-03 10:16:27,HR,82.56,2024-06-03
LOG0000583,EMP00731,2024-03-17 22:46:20,2024-03-18 03:39:55,Scheduling,56.11,2024-03-17
LOG0004703,EMP00829,2024-07-09 22:44:55,2024-07-10 03:27:24,IT,26.72,2024-07-09
LOG0000716,EMP00687,2024-01-15 06:21:52,2024-01-15 12:17:09,Legal,39.45,2024-01-15
LOG0000244,EMP00454,2024-08-26 10:05:33,2024-08-26 22:59:29,Infrastructure,82.48,2024-08-26
LOG0001933,EMP00380,2024-12-08 10:16:25,2024-12-08 16:55:38,Legal,23.42,2024-12-08
LOG0002449,EMP00913,2024-07-07 07:04:50,2024-07-07 15:41:25,Finance,54.43,2024-07-07
LOG0001258,EMP00967,2024-06-08 22:20:27,,Bus,28.49,2024-06-08
LOG0002021,EMP00012,2024-03-28 08:02:34,2024-03-28 13:47:37,Finance,84.02,2024-03-28
LOG0003802,EMP00453,2024-02-03 08:34:56,2024-02-03 22:00:55,Operations,84.81,2024-02-03
LOG0000195,EMP00121,2024-03-17 08:53:01,2024-03-17 16:16:30,Finance,47.48,2024-03-17
LOG0005013,EMP00363,2024-08-04 06:33:07,2024-08-04 14:36:05,Procurement,42.97,2024-08-04
LOG0000802,EMP00922,2024-03-11 09:44:30,2024-03-11 16:39:08,Legal,33.64,2024-03-11
LOG0003858,EMP00963,2024-04-10 10:02:44,2024-04-10 18:43:11,HR,57.58,2024-04-10
LOG0001279,EMP00308,2024-03-17 09:04:00,2024-03-17 16:11:06,Operations,41.9,2024-03-17
LOG0003067,EMP00310,2024-07-15 06:10:36,2024-07-15 11:54:15,Customer Service,58.01,2024-07-15
LOG0004951,EMP00250,2024-02-16 06:42:09,2024-02-16 18:03:55,Procurement,40.68,2024-02-16
LOG0004882,EMP00553,2024-09-22 10:08:56,2024-09-22 21:26:11,Engineering,78.7,2024-09-22
LOG0002904,EMP00061,2024-04-13 08:13:37,2024-04-13 17:15:56,Customer Service,56.09,2024-04-13
LOG0001381,EMP00617,2024-11-06 22:07:06,2024-11-07 06:04:32,Rail,65.14,2024-11-06
LOG0002523,EMP00161,2024-07-15 09:28:14,2024-07-15 21:24:58,Finance,49.71,2024-07-15
LOG0002024,EMP00878,2024-12-12 10:57:59,2024-12-12 20:52:59,Infrastructure,72.71,2024-12-12
LOG0000783,EMP00210,2024-12-06 07:59:34,2024-12-06 18:19:41,Infrastructure,77.51,2024-12-06
LOG0004132,EMP00044,2024-02-15 06:51:46,2024-02-15 19:32:38,Procurement,49.95,2024-02-15
LOG0002380,EMP00691,2024-03-23 22:11:07,2024-03-24 03:56:03,Procurement,32.31,2024-03-23
LOG0002633,EMP00767,2024-12-02 08:24:04,2024-12-02 15:32:21,Customer Service,70.34,2024-12-02
LOG0002151,EMP00237,2024-08-25 14:50:31,2024-08-26 01:30:52,Scheduling,35.93,2024-08-25
LOG0003973,EMP00794,2024-08-03 07:57:59,2024-08-03 13:01:45,Maintenance,50.54,2024-08-03
LOG0002754,EMP00835,2024-06-16 22:47:24,2024-06-17 09:10:05,IT,38.14,2024-06-16
LOG0004299,EMP00288,2024-05-27 07:10:14,2024-05-27 13:05:47,Scheduling,39.01,2024-05-27
LOG0005041,EMP00441,2024-07-09 09:01:21,2024-07-09 19:08:55,Customer Service,63.5,2024-07-09
LOG0001671,EMP00150,2024-04-05 06:45:05,2024-04-05 10:47:23,Safety,61.45,2024-04-05
LOG0000697,EMP00966,2024-05-06 10:21:58,2024-05-06 20:03:30,Safety,29.51,2024-05-06
LOG0002909,EMP00822,2024-11-22 22:26:01,2024-11-23 04:17:47,HR,84.74,2024-11-22
LOG0002815,EMP00412,2024-03-08 10:38:02,2024-03-08 18:34:04,Operations,21.86,2024-03-08
LOG0004838,EMP00673,2024-05-10 09:23:33,2024-05-10 16:30:16,Bus,71.99,2024-05-10
LOG0004419,EMP00500,2024-05-07 22:05:32,2024-05-08 02:34:49,Safety,34.52,2024-05-07
LOG0002846,EMP00774,2024-04-06 08:17:55,2024-04-06 16:06:49,Finance,83.29,2024-04-06
LOG0003385,EMP00952,2024-09-05 14:37:13,2024-09-05 19:39:54,Rail,42.83,2024-09-05
LOG0001681,EMP00107,2024-11-13 22:52:27,2024-11-14 03:40:25,Safety,21.84,2024-11-13
LOG0004565,EMP00693,2024-11-09 09:53:35,2024-11-09 18:36:19,Customer Service,21.18,2024-11-09
LOG0000286,EMP00319,2024-03-12 06:12:01,2024-03-12 17:23:51,Customer Service,76.57,2024-03-12
LOG0004943,EMP00901,2024-10-22 14:34:27,2024-10-22 21:02:25,Engineering,26.44,2024-10-22
LOG0003818,EMP00653,2024-03-29 10:10:11,2024-03-29 18:25:15,Infrastructure,51.82,2024-03-29
LOG0001503,EMP00922,2024-07-26 09:13:29,2024-07-26 19:26:16,Legal,33.64,2024-07-26
LOG0002728,EMP00322,2024-04-09 14:47:00,2024-04-10 01:42:24,IT,61.29,2024-04-09
LOG0003867,EMP00397,2024-12-02 08:36:01,2024-12-02 15:20:52,Infrastructure,78.48,2024-12-02
LOG0000121,EMP00697,2024-06-14 14:59:36,2024-06-14 19:53:21,Procurement,71.29,2024-06-14
LOG0000714,EMP00182,2024-07-18 14:19:28,,Safety,79.42,2024-07-18
LOG0002957,EMP00247,2024-01-08 08:57:21,2024-01-08 12:58:14,Maintenance,83.73,2024-01-08
LOG0002774,EMP00658,2024-03-31 09:29:06,2024-03-31 15:57:47,Operations,34.76,2024-03-31
LOG0001846,EMP00737,2024-01-12 09:36:22,,IT,41.86,2024-01-12
LOG0003158,EMP00072,2024-01-10 14:14:39,2024-01-10 18:59:34,Maintenance,60.68,2024-01-10
LOG0000600,EMP00878,2024-11-29 22:08:19,2024-11-30 07:49:15,Infrastructure,72.71,2024-11-29
LOG0001854,EMP00168,2024-11-13 06:36:41,2024-11-13 18:26:32,Maintenance,81.51,2024-11-13
LOG0004363,EMP00972,2024-04-24 07:21:39,2024-04-24 16:38:08,Operations,77.74,2024-04-24
LOG0004688,EMP00543,2024-11-23 07:55:38,2024-11-23 16:08:59,Procurement,84.51,2024-11-23
LOG0003967,EMP00603,2024-09-21 22:21:32,2024-09-22 04:36:28,Rail,24.0,2024-09-21
LOG0005040,EMP00379,2024-06-18 07:49:05,2024-06-18 13:42:08,Customer Service,37.49,2024-06-18
LOG0001855,EMP00300,2024-05-27 10:30:27,2024-05-27 23:27:24,Maintenance,53.79,2024-05-27
LOG0000835,EMP00913,2024-05-24 10:17:38,,Finance,54.43,2024-05-24
LOG0004202,EMP00846,2024-05-14 14:40:07,2024-05-15 02:26:08,Legal,50.3,2024-05-14
LOG0001431,EMP00780,2024-09-20 08:41:19,2024-09-20 15:19:50,Bus,20.7,2024-09-20
LOG0000135,EMP00041,2024-01-21 07:59:33,2024-01-21 15:02:30,Bus,22.98,2024-01-21
LOG0003415,EMP00484,2024-01-03 07:51:54,2024-01-03 20:11:48,Scheduling,75.71,2024-01-03
LOG0001290,EMP00691,2024-12-06 09:20:19,2024-12-06 18:20:32,Procurement,32.31,2024-12-06
LOG0000310,EMP00078,2024-02-23 14:03:59,2024-02-23 23:26:23,Bus,62.85,2024-02-23
LOG0004078,EMP00688,2024-03-30 07:04:16,2024-03-30 04:19:11,HR,48.61,2024-03-30
LOG0002512,EMP00434,2024-12-21 14:08:45,2024-12-22 03:02:36,Engineering,32.29,2024-12-21
LOG0000238,EMP00229,2024-02-13 07:41:51,2024-02-13 15:51:21,Scheduling,21.12,2024-02-13
LOG0001965,EMP00543,2024-06-11 06:11:36,2024-06-11 12:18:59,Procurement,84.51,2024-06-11
LOG0002498,EMP00985,2024-06-22 06:28:18,2024-06-22 10:54:35,Infrastructure,53.73,2024-06-22
LOG0003147,EMP00295,2024-01-10 14:32:17,2024-01-10 22:31:01,Infrastructure,61.07,2024-01-10
LOG0000971,EMP00309,2024-02-25 09:49:27,2024-02-25 15:49:07,Operations,22.28,2024-02-25
LOG0002250,EMP00097,2024-10-07 07:11:02,2024-10-07 20:01:03,Finance,37.58,2024-10-07
LOG0003549,EMP00009,2024-03-29 08:37:32,2024-03-29 16:55:33,Infrastructure,49.05,2024-03-29
LOG0003714,EMP00232,2024-02-07 07:36:07,2024-02-07 14:36:48,Engineering,79.25,2024-02-07
LOG0004869,EMP00463,2024-12-22 22:20:37,2024-12-23 04:11:05,Bus,48.21,2024-12-22
LOG0000590,EMP00925,2024-08-15 06:51:34,2024-08-15 16:55:40,Procurement,68.11,2024-08-15
LOG0002715,EMP00117,2024-04-02 07:20:38,2024-04-02 11:44:41,Bus,73.89,2024-04-02
LOG0004079,EMP00847,2024-07-17 09:02:19,2024-07-17 17:53:02,Rail,64.8,2024-07-17
LOG0001919,EMP00412,2024-07-18 07:52:31,2024-07-18 16:30:37,Operations,21.86,2024-07-18
LOG0002126,EMP00206,2024-05-08 22:12:49,2024-05-09 04:53:02,Maintenance,53.48,2024-05-08
LOG0000321,EMP00022,2024-08-07 14:55:15,2024-08-07 21:23:56,Bus,84.82,2024-08-07
LOG0000442,EMP00674,2024-05-16 22:18:41,2024-05-17 03:55:02,Legal,37.27,2024-05-16
LOG0004449,EMP00848,2024-01-17 14:09:24,2024-01-18 00:56:49,IT,79.1,2024-01-17
LOG0000667,EMP00935,2024-11-28 06:13:14,2024-11-28 19:10:09,Customer Service,74.01,2024-11-28
LOG0000369,EMP00623,2024-05-28 10:31:02,2024-05-28 22:44:42,Scheduling,62.67,2024-05-28
LOG0000838,EMP00421,2024-01-05 14:32:45,2024-01-05 20:06:02,Procurement,50.0,2024-01-05
LOG0002086,EMP00840,2024-11-23 22:36:18,2024-11-24 03:41:36,Finance,36.06,2024-11-23
LOG0001885,EMP00694,2024-10-07 10:16:58,2024-10-07 16:23:20,Bus,82.9,2024-10-07
LOG0001363,EMP00970,2024-11-22 22:56:06,2024-11-23 06:45:14,Rail,61.54,2024-11-22
LOG0003290,EMP00217,2024-04-25 08:04:59,,Customer Service,63.93,2024-04-25
LOG0001484,EMP00763,2024-01-20 06:38:51,2024-01-20 12:44:44,Maintenance,44.31,2024-01-20
LOG0003987,EMP00381,2024-02-01 09:43:58,2024-02-01 16:11:20,Procurement,63.85,2024-02-01
LOG0002469,EMP00334,2024-01-23 06:29:04,2024-01-23 18:34:51,Scheduling,81.48,2024-01-23
LOG0001692,EMP00872,2024-05-22 07:12:31,2024-05-22 17:16:36,Bus,26.53,2024-05-22
LOG0004125,EMP00553,2024-01-22 14:37:01,2024-01-22 21:11:19,Engineering,78.7,2024-01-22
LOG0001907,EMP00322,2024-03-28 09:52:31,2024-03-28 14:57:02,IT,61.29,2024-03-28
LOG0003435,EMP00837,2024-03-22 07:00:32,2024-03-22 16:13:43,Scheduling,24.42,2024-03-22
LOG0004643,EMP00690,2024-10-15 06:11:43,2024-10-15 04:18:25,Safety,49.49,2024-10-15
LOG0004868,EMP00123,2024-11-27 09:13:17,2024-11-27 16:16:54,Customer Service,54.02,2024-11-27
LOG0002592,EMP00183,2024-12-14 06:01:34,2024-12-14 16:28:56,Legal,51.2,2024-12-14
LOG0003569,EMP00805,2024-02-12 06:25:57,2024-02-12 18:14:55,Legal,38.92,2024-02-12
LOG0002597,EMP00802,2024-01-25 06:31:12,2024-01-25 16:56:53,Engineering,30.55,2024-01-25
LOG0000541,EMP00082,2024-10-12 08:57:09,2024-10-12 21:29:11,Maintenance,43.94,2024-10-12
LOG0004917,EMP00651,2024-07-27 10:59:13,2024-07-27 16:55:41,Maintenance,19.61,2024-07-27
LOG0004249,EMP00182,2024-09-13 09:52:36,2024-09-13 16:06:01,Safety,79.42,2024-09-13
LOG0000388,EMP00213,2024-04-17 07:05:27,2024-04-17 17:59:56,Legal,25.18,2024-04-17
LOG0003873,EMP00170,2024-02-10 09:42:57,2024-02-10 22:56:50,Rail,18.68,2024-02-10
LOG0004081,EMP00805,2024-06-22 07:16:29,2024-06-22 14:16:01,Legal,38.92,2024-06-22
LOG0004548,EMP00889,2024-03-12 10:29:14,2024-03-13 00:06:09,Engineering,25.58,2024-03-12
LOG0001634,EMP00589,2024-06-21 08:42:25,2024-06-21 14:02:17,Infrastructure,72.28,2024-06-21
LOG0003453,EMP00867,2024-10-03 10:43:02,2024-10-03 23:08:49,Safety,66.16,2024-10-03
